model,model_display,fold,fit_time_seconds,score_time_seconds,accuracy,precision_macro,recall_macro,f1_macro,roc_auc_ovr_macro
decision_tree,Decision Tree,1,0.014623880386352539,0.03295540809631348,0.8787878787878788,0.8973546614675647,0.8899425287356322,0.8931497683123114,0.9234839385326643
decision_tree,Decision Tree,2,0.015521764755249023,0.028632402420043945,0.9183673469387755,0.9358823529411765,0.9316091954022989,0.931712962962963,0.9511519975306464
decision_tree,Decision Tree,3,0.01949334144592285,0.029381513595581055,0.9387755102040817,0.9491379310344827,0.9491379310344827,0.9491379310344827,0.9636194770261928
decision_tree,Decision Tree,4,0.021877050399780273,0.028861284255981445,0.9081632653061225,0.923963133640553,0.9235632183908046,0.9236410698878343,0.9453440559132198
decision_tree,Decision Tree,5,0.019196748733520508,0.033318519592285156,0.9489795918367347,0.9577586206896551,0.9577586206896551,0.9576271186440678,0.9697680571478966
random_forest,Random Forest,1,0.294421911239624,0.12262821197509766,0.898989898989899,0.9157318376068376,0.9074712643678162,0.9101184194483483,0.9709255491301968
random_forest,Random Forest,2,0.30370545387268066,0.12991762161254883,0.9081632653061225,0.9238505747126436,0.9238505747126438,0.923728813559322,0.9823059058705941
random_forest,Random Forest,3,0.26514506340026855,0.12164521217346191,0.9285714285714286,0.9467261904761906,0.9399425287356322,0.9400580551523948,0.9852132757150837
random_forest,Random Forest,4,0.25830984115600586,0.13129281997680664,0.9183673469387755,0.9358823529411764,0.9316091954022989,0.931712962962963,0.9782442418496635
random_forest,Random Forest,5,0.3045327663421631,0.11221528053283691,0.9285714285714286,0.9428904428904429,0.9402298850574713,0.9404040404040404,0.9849657891642414
svm_rbf,Support Vector Machine,1,0.019794225692749023,0.029501914978027344,0.7171717171717171,0.7663714574898786,0.7560344827586207,0.7508961605631759,0.9226255919659218
svm_rbf,Support Vector Machine,2,0.014369726181030273,0.028860807418823242,0.7040816326530612,0.7638775231860339,0.7473727422003285,0.7270668501318656,0.8906275567568219
svm_rbf,Support Vector Machine,3,0.017200231552124023,0.027080297470092773,0.6836734693877551,0.7330623306233062,0.735632183908046,0.7259514534012587,0.882330893376841
svm_rbf,Support Vector Machine,4,0.01397395133972168,0.034845829010009766,0.7448979591836735,0.8127551020408164,0.7853448275862069,0.7606296656929569,0.9052866948878502
svm_rbf,Support Vector Machine,5,0.01855015754699707,0.03063178062438965,0.7142857142857143,0.7623529411764706,0.7620689655172413,0.7609953703703703,0.9018799423817503
