condition,accuracy_mean,accuracy_std,precision_macro_mean,precision_macro_std,recall_macro_mean,recall_macro_std,f1_macro_mean,f1_macro_std,roc_auc_ovr_macro_mean,roc_auc_ovr_macro_std
baseline,0.91861472,0.02749525,0.93281934,0.02363166,0.9304023,0.02638473,0.93105377,0.02512606,0.95067351,0.01802848
tuned,0.9349206349206349,0.02803229228386317,0.9458078675125394,0.023913461042090717,0.9441379310344828,0.02696912181570078,0.944722880093764,0.02576666549366949,0.9735512785283488,0.012496424519342414
