model,model_display,accuracy_mean,accuracy_std,precision_macro_mean,precision_macro_std,recall_macro_mean,recall_macro_std,f1_macro_mean,f1_macro_std,roc_auc_ovr_macro_mean,roc_auc_ovr_macro_std,fit_time_seconds_mean,score_time_seconds_mean
decision_tree,Decision Tree,0.9186147186147187,0.027495246329590432,0.9328193399546864,0.023631663067989975,0.9304022988505748,0.026384725109757198,0.9310537701683318,0.025126060876786396,0.950673505230124,0.01802848177734221,0.018142557144165038,0.030629825592041016
random_forest,Random Forest,0.9165326736755308,0.012952077101710731,0.9330162797254582,0.013004203305215612,0.9286206896551725,0.01361929523877419,0.9292044583054138,0.012686443196937007,0.9803309523459559,0.0059589261948713316,0.28522300720214844,0.12353982925415039
svm_rbf,Support Vector Machine,0.7128220985363842,0.022225888703833026,0.767683870903301,0.02861248176616072,0.7572906403940888,0.018566779364887886,0.7451079000319255,0.017459165300627976,0.9005501358738369,0.015345418793674615,0.016777658462524415,0.030184125900268553
